time [s],425nm [mV],Channel 2-500nm [mV],Channel 3-610nm [mV]
11720,710.3919999999999,1978.316,2542.374
11740,734.768,2038.1589999999999,2615.118
11760,729.2389999999999,2022.8120000000001,2595.799
11780,770.581,2140.045,2752.824
11800,790.4839999999999,2197.888,2826.045
11820,785.1239999999999,2181.521,2799.535
11840,774.66,2154.458,2768.655
11860,769.2460000000001,2137.394,2748.237
11880,750.535,2081.2870000000003,2671.835
11900,741.7769999999999,2061.279,2650.969
11920,733.495,2038.751,2615.776
11940,755.279,2095.151,2688.553
11960,750.289,2081.9120000000003,2671.158
11980,669.732,1850.1779999999999,2365.403
12000,733.123,2036.3020000000001,2613.001
12020,687.9830000000001,1903.3339999999998,2432.325
12040,726.4780000000001,2014.525,2582.605
12060,705.938,1956.618,2508.073
12080,751.023,2075.117,2661.6259999999997
12100,659.842,1822.76,2325.888
12120,651.724,1795.259,2293.0879999999997
12140,610.755,1682.296,2142.8579999999997
12160,581.534,1600.604,2041.161
12180,551.87,1518.9620000000002,1936.7910000000002
12200,481.55800000000005,1322.3,1681.399
12220,500.233,1368.0,1735.84
12240,394.88599999999997,1078.799,1365.457
12260,471.499,1293.8210000000001,1647.234
12280,318.334,870.125,1102.0919999999999
12300,569.9159999999999,1564.851,1990.411
12320,403.445,1100.4660000000001,1391.513
12340,443.101,1209.257,1531.014
12360,455.284,1244.8980000000001,1578.5810000000001
12380,477.338,1309.354,1667.3110000000001
12400,631.721,1732.786,2212.35
12420,572.972,1573.2879999999998,2004.652
12440,565.128,1550.326,1976.0539999999999
12460,473.402,1291.587,1636.896
12480,377.936,1028.323,1299.434
12500,400.09,1090.126,1380.42
12520,439.54400000000004,1202.0710000000001,1528.652
12540,504.289,1379.244,1752.5079999999998
12560,392.84,1067.441,1347.477
12580,442.314,1206.808,1531.236
12600,456.686,1249.506,1590.703
12620,515.394,1407.869,1795.626
12640,547.125,1497.96,1906.595
12660,530.131,1448.2620000000002,1844.74
12680,459.07300000000004,1252.267,1589.9160000000002
12700,446.904,1220.2169999999999,1550.734
12720,522.2130000000001,1423.4589999999998,1806.421
12740,398.629,1081.066,1365.454
12760,479.505,1304.777,1649.671
12780,530.312,1445.973,1837.7420000000002
12800,498.49300000000005,1355.422,1716.161
12820,501.707,1370.027,1742.399
12840,729.88,2004.693,2570.601
12860,646.889,1765.89,2244.251
12880,652.602,1787.1,2278.23
12900,614.922,1681.211,2140.136
12920,666.673,1825.547,2328.677
12940,547.225,1492.76,1894.126
12960,502.93199999999996,1365.037,1725.8529999999998
12980,461.69300000000004,1252.172,1583.366
13000,565.15,1539.776,1954.682
13020,519.872,1414.6229999999998,1791.246
13040,445.94300000000004,1207.249,1520.4479999999999
13060,596.23,1626.229,2067.175
13080,529.616,1441.4979999999998,1831.279
13100,430.155,1163.435,1468.5539999999999
13120,478.916,1302.855,1655.266
13140,593.665,1614.108,2047.8370000000002
13160,567.029,1537.967,1944.4389999999999
13180,612.528,1665.3370000000002,2109.21
13200,617.578,1682.8470000000002,2137.63
13220,569.975,1546.786,1960.721
13240,508.60400000000004,1374.993,1732.8139999999999
13260,433.04699999999997,1168.375,1472.8139999999999
13280,440.407,1187.542,1492.124
13300,346.329,930.398,1166.2169999999999
13320,345.135,920.93,1147.208
13340,218.668,582.008,724.7230000000001
13360,176.31799999999998,469.892,590.413
13380,398.233,1064.56,1325.87
13400,542.984,1466.754,1852.095
13420,704.591,1908.75,2412.982
13440,144.291,381.923,480.356
13460,129.173,344.98900000000003,437.908
13480,258.594,685.9830000000001,849.066
13500,618.908,1670.9920000000002,2111.456
13520,722.8760000000001,1969.4160000000002,2508.354
13540,668.933,1822.5620000000001,2324.917
13560,629.0319999999999,1699.514,2151.0029999999997
13580,705.65,1915.1229999999998,2432.127
13600,730.6460000000001,1981.733,2515.337
13620,805.9860000000001,2196.765,2804.1079999999997
13640,874.972,2389.808,3049.567
13660,853.128,2325.013,2965.4240000000004
13680,821.002,2232.175,2835.498
13700,839.2310000000001,2285.304,2913.6440000000002
13720,839.045,2292.657,2930.489
13740,849.607,2305.615,2952.542
13760,853.541,2321.665,2962.7059999999997
13780,819.998,2231.576,2831.035
13800,827.6489999999999,2249.439,2853.2340000000004
13820,872.0260000000001,2372.9629999999997,3024.7709999999997
13840,831.304,2267.594,2884.1690000000003
13860,852.363,2326.183,2961.585
13880,849.2589999999999,2304.6279999999997,2940.145
13900,873.592,2380.54,3025.842
13920,871.637,2368.674,3018.1259999999997
13940,866.041,2357.471,2992.761
13960,872.71,2371.511,3022.027
13980,869.508,2364.511,3016.007
14000,740.3710000000001,2008.369,2555.647
14020,764.3580000000001,2076.545,2650.2540000000004
14040,466.814,1259.5839999999998,1586.37
14060,413.31300000000005,1110.5439999999999,1395.621
14080,660.05,1786.358,2272.458
14100,806.422,2191.062,2797.8590000000004
14120,845.32,2300.632,2941.43
14140,884.294,2400.408,3062.422
14160,876.811,2380.865,3033.2709999999997
14180,885.916,2405.536,3069.844
14200,883.868,2404.144,3056.579
14220,886.0060000000001,2408.552,3054.7259999999997
14240,883.4580000000001,2396.44,3049.6290000000004
14260,881.6,2389.925,3040.1420000000003
14280,881.515,2391.8179999999998,3042.781
14300,884.2869999999999,2396.386,3049.2470000000003
14320,887.971,2405.97,3055.58
14340,884.0060000000001,2397.222,3055.105
14360,886.4639999999999,2398.026,3050.695
14380,886.793,2404.17,3051.684
14400,887.959,2403.369,3054.938
14420,887.332,2401.993,3048.73
